#Optimization obtained via Optimization of the largest Eigenvalue
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
143 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
144 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
145 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
146 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
147 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
148 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
149 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
150 0.001167 0.994424 0.994424 1.365125 1.365125 1.000000 1.000000 1.000000
151 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
152 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
153 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
154 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
155 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
156 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
157 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
158 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
159 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
160 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
161 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
162 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
163 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
164 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
165 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
166 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
167 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
168 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
169 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
170 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
171 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
172 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
173 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
174 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
175 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
176 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
177 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
178 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
179 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
180 0.001212 0.994206 0.994206 1.364407 1.364407 1.000000 1.000000 1.000000
181 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
182 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
183 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
184 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
185 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
186 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
187 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
188 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
189 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
190 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
191 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
192 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
193 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
194 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
195 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
196 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
197 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
198 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
199 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
200 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
201 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
202 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
203 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
204 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
205 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
206 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
207 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
208 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
209 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
210 0.001260 0.993980 0.993980 1.363665 1.363665 1.000000 1.000000 1.000000
211 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
212 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
213 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
214 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
215 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
216 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
217 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
218 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
219 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
220 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
221 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
222 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
223 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
224 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
225 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
226 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
227 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
228 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
229 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
