#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
130 0.001167 0.994426 0.994424 1.365491 1.365124 1.000000 1.000000 1.000000
131 0.001167 0.994425 0.994424 1.365490 1.365123 1.000000 1.000000 1.000000
132 0.001167 0.994425 0.994424 1.365484 1.365124 1.000000 1.000000 1.000000
133 0.001167 0.994426 0.994424 1.365492 1.365123 1.000000 1.000000 1.000000
134 0.001167 0.994424 0.994421 1.365485 1.365115 1.000000 1.000000 1.000000
135 0.001167 0.994423 0.994423 1.365476 1.365122 1.000000 1.000000 1.000000
136 0.001167 0.994425 0.994424 1.365487 1.365124 1.000000 1.000000 1.000000
137 0.001167 0.994425 0.994423 1.365490 1.365121 1.000000 1.000000 1.000000
138 0.001167 0.994425 0.994424 1.365489 1.365124 1.000000 1.000000 1.000000
139 0.001167 0.994425 0.994424 1.365485 1.365125 1.000000 1.000000 1.000000
140 0.001167 0.994425 0.994423 1.365490 1.365122 1.000000 1.000000 1.000000
141 0.001167 0.994425 0.994423 1.365489 1.365122 1.000000 1.000000 1.000000
142 0.001167 0.994426 0.994423 1.365494 1.365122 1.000000 1.000000 1.000000
143 0.001167 0.994426 0.994424 1.365493 1.365123 1.000000 1.000000 1.000000
144 0.001167 0.994424 0.994421 1.365483 1.365116 1.000000 1.000000 1.000000
145 0.001167 0.994424 0.994423 1.365479 1.365122 1.000000 1.000000 1.000000
146 0.001167 0.994426 0.994423 1.365493 1.365121 1.000000 1.000000 1.000000
147 0.001167 0.994425 0.994423 1.365490 1.365122 1.000000 1.000000 1.000000
148 0.001167 0.994425 0.994424 1.365491 1.365123 1.000000 1.000000 1.000000
149 0.001167 0.994425 0.994423 1.365489 1.365120 1.000000 1.000000 1.000000
150 0.001167 0.994425 0.994423 1.365490 1.365121 1.000000 1.000000 1.000000
151 0.001212 0.994208 0.994206 1.364788 1.364406 1.000000 1.000000 1.000000
152 0.001212 0.994208 0.994206 1.364787 1.364405 1.000000 1.000000 1.000000
153 0.001212 0.994207 0.994205 1.364786 1.364402 1.000000 1.000000 1.000000
154 0.001212 0.994208 0.994204 1.364786 1.364401 1.000000 1.000000 1.000000
155 0.001212 0.994208 0.994206 1.364787 1.364405 1.000000 1.000000 1.000000
156 0.001212 0.994208 0.994206 1.364788 1.364405 1.000000 1.000000 1.000000
157 0.001212 0.994207 0.994205 1.364787 1.364403 1.000000 1.000000 1.000000
158 0.001212 0.994207 0.994205 1.364787 1.364401 1.000000 1.000000 1.000000
159 0.001212 0.994207 0.994205 1.364787 1.364402 1.000000 1.000000 1.000000
160 0.001212 0.994208 0.994205 1.364788 1.364404 1.000000 1.000000 1.000000
161 0.001212 0.994207 0.994205 1.364783 1.364402 1.000000 1.000000 1.000000
162 0.001212 0.994207 0.994206 1.364785 1.364406 1.000000 1.000000 1.000000
163 0.001212 0.994206 0.994205 1.364776 1.364403 1.000000 1.000000 1.000000
164 0.001212 0.994207 0.994206 1.364784 1.364405 1.000000 1.000000 1.000000
165 0.001212 0.994208 0.994205 1.364786 1.364404 1.000000 1.000000 1.000000
166 0.001212 0.994207 0.994203 1.364786 1.364397 1.000000 1.000000 1.000000
167 0.001212 0.994208 0.994206 1.364788 1.364406 1.000000 1.000000 1.000000
168 0.001212 0.994207 0.994205 1.364784 1.364403 1.000000 1.000000 1.000000
169 0.001212 0.994208 0.994205 1.364790 1.364404 1.000000 1.000000 1.000000
170 0.001212 0.994208 0.994206 1.364788 1.364405 1.000000 1.000000 1.000000
171 0.001212 0.994206 0.994204 1.364782 1.364398 1.000000 1.000000 1.000000
172 0.001212 0.994206 0.994205 1.364778 1.364402 1.000000 1.000000 1.000000
173 0.001212 0.994208 0.994205 1.364787 1.364401 1.000000 1.000000 1.000000
174 0.001212 0.994206 0.994205 1.364780 1.364402 1.000000 1.000000 1.000000
175 0.001212 0.994207 0.994205 1.364784 1.364402 1.000000 1.000000 1.000000
176 0.001212 0.994207 0.994205 1.364783 1.364404 1.000000 1.000000 1.000000
177 0.001212 0.994206 0.994205 1.364778 1.364403 1.000000 1.000000 1.000000
178 0.001212 0.994207 0.994206 1.364786 1.364405 1.000000 1.000000 1.000000
179 0.001212 0.994207 0.994205 1.364782 1.364403 1.000000 1.000000 1.000000
180 0.001212 0.994207 0.994205 1.364785 1.364403 1.000000 1.000000 1.000000
181 0.001260 0.993981 0.993978 1.364056 1.363660 1.000000 1.000000 1.000000
182 0.001260 0.993981 0.993977 1.364057 1.363656 1.000000 1.000000 1.000000
183 0.001260 0.993981 0.993976 1.364058 1.363653 1.000000 1.000000 1.000000
184 0.001260 0.993979 0.993977 1.364050 1.363656 1.000000 1.000000 1.000000
185 0.001260 0.993980 0.993976 1.364054 1.363653 1.000000 1.000000 1.000000
186 0.001260 0.993982 0.993979 1.364062 1.363664 1.000000 1.000000 1.000000
187 0.001260 0.993981 0.993979 1.364056 1.363662 1.000000 1.000000 1.000000
188 0.001260 0.993982 0.993977 1.364063 1.363654 1.000000 1.000000 1.000000
189 0.001260 0.993982 0.993979 1.364061 1.363661 1.000000 1.000000 1.000000
190 0.001260 0.993981 0.993978 1.364060 1.363659 1.000000 1.000000 1.000000
191 0.001260 0.993981 0.993978 1.364059 1.363658 1.000000 1.000000 1.000000
192 0.001260 0.993981 0.993979 1.364061 1.363663 1.000000 1.000000 1.000000
193 0.001260 0.993981 0.993979 1.364059 1.363664 1.000000 1.000000 1.000000
194 0.001260 0.993981 0.993978 1.364061 1.363660 1.000000 1.000000 1.000000
195 0.001260 0.993982 0.993979 1.364063 1.363661 1.000000 1.000000 1.000000
196 0.001260 0.993981 0.993979 1.364058 1.363661 1.000000 1.000000 1.000000
197 0.001260 0.993981 0.993979 1.364061 1.363662 1.000000 1.000000 1.000000
198 0.001260 0.993981 0.993979 1.364057 1.363661 1.000000 1.000000 1.000000
199 0.001260 0.993979 0.993976 1.364053 1.363653 1.000000 1.000000 1.000000
200 0.001260 0.993981 0.993979 1.364057 1.363663 1.000000 1.000000 1.000000
201 0.001260 0.993982 0.993979 1.364061 1.363663 1.000000 1.000000 1.000000
202 0.001260 0.993981 0.993979 1.364055 1.363663 1.000000 1.000000 1.000000
203 0.001260 0.993980 0.993978 1.364055 1.363658 1.000000 1.000000 1.000000
