#Optimization obtained via Optimization of the purity of the resulting channel
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
145 0.019179 0.999978 1.000000 0.986398 1.386155 1.386294 1.345301 

156 0.019179 0.999985 1.000000 0.990032 1.386198 1.386290 1.354748 

142 0.019179 0.999994 1.000000 0.991068 1.386252 1.386294 1.357553 

151 0.019179 0.999981 0.999999 0.991207 1.386173 1.386289 1.357936 

149 0.019179 0.999944 1.000000 0.983627 1.385971 1.386294 1.338437 

148 0.019179 0.999923 0.999999 0.983823 1.385861 1.386289 1.338908 

158 0.019179 0.999988 0.999999 0.981063 1.386216 1.386290 1.332249 

143 0.019179 0.999904 1.000000 0.985159 1.385767 1.386293 1.342169 

153 0.019179 0.999991 1.000000 0.994819 1.386237 1.386294 1.368238 

144 0.019179 0.999955 0.999999 0.982258 1.386033 1.386285 1.335154 

141 0.019179 0.999968 1.000000 0.981135 1.386099 1.386293 1.332450 

157 0.019179 0.999921 1.000000 0.987199 1.385852 1.386294 1.347353 

152 0.019179 0.999967 1.000000 0.990234 1.386094 1.386292 1.355297 

147 0.019179 0.999961 0.999999 0.984443 1.386063 1.386285 1.340462 

155 0.019179 0.999959 1.000000 0.984763 1.386054 1.386293 1.341255 

150 0.019179 0.999947 1.000000 0.987393 1.385986 1.386294 1.347801 

146 0.019179 0.999916 1.000000 0.984787 1.385827 1.386291 1.341236 

154 0.019179 0.999913 1.000000 0.974718 1.385812 1.386293 1.317553 

160 0.019179 0.999895 1.000000 0.985833 1.385722 1.386294 1.343890 

159 0.019179 0.999985 1.000000 0.989961 1.386195 1.386294 1.354577 

165 0.021049 0.999906 1.000000 0.989214 1.385776 1.386293 1.352557 

171 0.021049 0.999992 0.999999 0.990161 1.386238 1.386287 1.355096 

169 0.021049 0.999974 1.000000 0.984222 1.386135 1.386293 1.339895 

166 0.021049 0.999960 0.999999 0.991095 1.386055 1.386290 1.357597 

