#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
163 0.021049 1.000000 1.000000 0.988897 1.386292 1.386292 1.351710 

176 0.021049 1.000000 0.999999 0.994963 1.386293 1.386284 1.368661 

178 0.021049 1.000000 0.999999 0.977940 1.386292 1.386288 1.324928 

162 0.021049 1.000000 1.000000 0.991980 1.386293 1.386293 1.360062 

170 0.021049 1.000000 1.000000 0.986693 1.386294 1.386294 1.346006 

175 0.021049 1.000000 1.000000 0.983171 1.386294 1.386293 1.337357 

168 0.021049 1.000000 0.999999 0.989783 1.386292 1.386288 1.354079 

177 0.021049 1.000000 1.000000 0.986704 1.386293 1.386293 1.346088 

167 0.021049 0.999999 0.999998 0.969241 1.386289 1.386281 1.305786 

179 0.021049 1.000000 1.000000 0.993973 1.386294 1.386294 1.365737 

180 0.021049 1.000000 1.000000 0.985817 1.386294 1.386292 1.343866 

185 0.023101 1.000000 1.000000 0.982997 1.386292 1.386293 1.336867 

198 0.023101 1.000000 0.999999 0.973128 1.386291 1.386285 1.314115 

188 0.023101 1.000000 0.999999 0.983408 1.386291 1.386285 1.337881 

187 0.023101 0.999999 0.999997 0.966904 1.386287 1.386275 1.300806 

194 0.023101 1.000000 0.999999 0.969021 1.386292 1.386290 1.305078 

197 0.023101 1.000000 1.000000 0.982099 1.386292 1.386292 1.334751 

181 0.023101 1.000000 1.000000 0.970173 1.386292 1.386292 1.307708 

193 0.023101 1.000000 1.000000 0.992967 1.386294 1.386294 1.362843 

183 0.023101 1.000000 1.000000 0.983872 1.386292 1.386291 1.338969 

189 0.023101 1.000000 1.000000 0.978022 1.386293 1.386293 1.325188 

191 0.023101 1.000000 0.999999 0.988768 1.386291 1.386284 1.351418 

182 0.023101 1.000000 1.000000 0.988388 1.386293 1.386293 1.350420 

192 0.023101 1.000000 0.999999 0.986047 1.386293 1.386290 1.344437 

184 0.023101 1.000000 0.999998 0.972338 1.386294 1.386280 1.312479 

186 0.023101 1.000000 0.999999 0.985183 1.386294 1.386287 1.342204 

195 0.023101 1.000000 1.000000 0.977873 1.386294 1.386292 1.324883 

196 0.023101 1.000000 0.999998 0.992270 1.386293 1.386282 1.360860 

190 0.023101 1.000000 1.000000 0.982552 1.386294 1.386294 1.335743 

199 0.023101 1.000000 1.000000 0.990112 1.386294 1.386294 1.354979 

200 0.023101 1.000000 1.000000 0.982075 1.386293 1.386292 1.334716 

208 0.025354 0.999999 0.999999 0.975249 1.386289 1.386286 1.318925 

218 0.025354 1.000000 0.999999 0.963885 1.386294 1.386290 1.293910 

217 0.025354 1.000000 1.000000 0.982298 1.386294 1.386294 1.335191 

216 0.025354 0.999999 0.999999 0.976746 1.386288 1.386285 1.322246 

211 0.025354 1.000000 0.999999 0.971377 1.386293 1.386285 1.310102 

206 0.025354 1.000000 1.000000 0.966477 1.386294 1.386291 1.299675 

215 0.025354 1.000000 1.000000 0.985987 1.386294 1.386292 1.344296 

209 0.025354 1.000000 0.999999 0.970911 1.386293 1.386288 1.309182 

213 0.025354 1.000000 0.999999 0.996291 1.386294 1.386289 1.372754 

214 0.025354 1.000000 0.999999 0.973306 1.386291 1.386288 1.314529 

201 0.025354 1.000000 0.999998 0.978401 1.386293 1.386281 1.326107 

204 0.025354 1.000000 0.999997 0.971301 1.386293 1.386273 1.310205 

205 0.025354 1.000000 1.000000 0.978585 1.386292 1.386292 1.326532 

212 0.025354 1.000000 0.999999 0.994202 1.386294 1.386288 1.366407 

203 0.025354 1.000000 1.000000 0.978230 1.386294 1.386292 1.325582 

202 0.025354 1.000000 0.999999 0.987741 1.386292 1.386290 1.348747 

210 0.025354 1.000000 1.000000 0.983580 1.386293 1.386293 1.338276 

207 0.025354 0.999999 0.999999 0.967585 1.386288 1.386284 1.302151 

219 0.025354 1.000000 1.000000 0.978857 1.386293 1.386293 1.327068 

220 0.025354 1.000000 0.999999 0.960253 1.386293 1.386287 1.286344 

230 0.027826 1.000000 1.000000 0.980803 1.386292 1.386292 1.331649 

228 0.027826 1.000000 0.999997 0.976796 1.386291 1.386275 1.322380 

235 0.027826 1.000000 1.000000 0.975390 1.386294 1.386291 1.319265 

225 0.027826 1.000000 1.000000 0.971755 1.386293 1.386293 1.311077 

237 0.027826 1.000000 1.000000 0.976201 1.386291 1.386291 1.321024 

226 0.027826 1.000000 0.999999 0.967894 1.386293 1.386288 1.302739 

224 0.027826 1.000000 1.000000 0.960944 1.386294 1.386294 1.288519 

232 0.027826 1.000000 1.000000 0.988471 1.386294 1.386291 1.350635 

238 0.027826 1.000000 0.999999 0.962272 1.386292 1.386286 1.290958 

236 0.027826 0.999998 0.999995 0.986636 1.386281 1.386257 1.345926 

233 0.027826 1.000000 0.999999 0.994255 1.386294 1.386286 1.366563 

231 0.027826 1.000000 0.999999 0.970307 1.386291 1.386284 1.307665 

221 0.027826 0.999999 0.999998 0.962146 1.386290 1.386281 1.290897 

227 0.027826 0.999999 0.999997 0.943668 1.386289 1.386274 1.254618 

229 0.027826 1.000000 0.999999 0.967677 1.386292 1.386284 1.302415 

222 0.027826 1.000000 0.999999 0.984734 1.386291 1.386290 1.341190 

223 0.027826 1.000000 0.999999 0.982446 1.386291 1.386286 1.335595 

234 0.027826 0.999999 0.999999 0.967703 1.386289 1.386286 1.302040 

